자치구,위도,경도,geometry
송파구,37.47999,127.14168,POINT (968319.5648527526 1942366.6418041205)
송파구,37.525181,127.106468,POINT (965227.2904169197 1947392.713184049)
송파구,37.4809150695801,127.126655578613,POINT (966991.6006691256 1942474.4327006224)
송파구,37.4811973571777,127.134666442871,POINT (967699.9871006433 1942502.9723028524)
송파구,37.4814796447754,127.131393432617,POINT (967410.7340029259 1942535.4179191543)
송파구,37.4818077884437,127.130951010051,POINT (967371.7610617687 1942571.976351321)
송파구,37.482105255127,127.127021789551,POINT (967024.5015506115 1942606.3470309344)
송파구,37.4826927185059,127.131034851074,POINT (967379.5583375656 1942670.1240176705)
송파구,37.4827995300292,127.129547119141,POINT (967248.0731632649 1942682.4904767137)
송파구,37.5352516174316,127.118934631348,POINT (966333.3800662716 1948505.4506500887)
송파구,37.483254581181,127.124629940165,POINT (966813.5425317298 1942734.6970130957)
송파구,37.4834365844727,127.127418518066,POINT (967060.1614508403 1942753.9097421407)
송파구,37.4844818115234,127.126319885254,POINT (966963.4914678698 1942870.2552537783)
송파구,37.5337715148926,127.11865234375,POINT (966307.7743676191 1948341.3433511136)
송파구,37.4845352172852,127.127388000488,POINT (967057.9457606103 1942875.8059902135)
송파구,37.484977722168,127.124855041504,POINT (966834.2055266881 1942925.7880663006)
송파구,37.485034942627,127.128067016602,POINT (967118.1957690063 1942931.009639063)
송파구,37.5316943779939,127.119799839424,POINT (966408.224868831 1948110.4872137608)
송파구,37.485408782959,127.123603820801,POINT (966723.7784519503 1942974.0527407327)
송파구,37.485481262207,127.126235961914,POINT (966956.512092271 1942981.1667399267)
송파구,37.487621307373,127.129318237305,POINT (967229.9436964301 1943217.5124268709)
송파구,37.4882850646973,127.128128051758,POINT (967125.0160456356 1943291.5666262258)
송파구,37.4890588018368,127.127954793819,POINT (967110.0385275653 1943377.4678943793)
송파구,37.4897193908691,127.128395080566,POINT (967149.2506915006 1943450.6019258592)
송파구,37.4897321435462,127.11199621017,POINT (965699.552111675 1943457.86557407)
송파구,37.4909174451198,127.123920613149,POINT (966754.2267605459 1943585.0885728316)
