주소,병원분류명,병원경도,병원위도,행정구역,geometry
서울특별시 송파구 양재대로 1222 중심상가동 3층 14호 (방이동 올림픽선수기자촌@ ),의원,127.1324510627848,37.515482595512566,송파구,POINT (967518.9731363992 1946307.448896148)
서울특별시 송파구 올림픽로 108 (잠실동),의원,127.08276934302116,37.51141985672251,송파구,POINT (963126.4834385858 1945875.0248993977)
서울특별시 송파구 올림픽로 100 효창타워 5층 1호 (잠실동),의원,127.081689148468,37.5114162901687,송파구,POINT (963031.0170830527 1945875.0530758824)
서울특별시 송파구 석촌호수로 234 (석촌동),의원,127.10278709070424,37.50769109991824,송파구,POINT (964893.8495221217 1945453.6869874059)
서울특별시 송파구 삼전로 99 (잠실동 2층),의원,127.09013781299248,37.50729236836091,송파구,POINT (963775.6936977641 1945414.2445361395)
서울특별시 송파구 올림픽로 118 (잠실동),의원,127.08385862029127,37.51147224766709,송파구,POINT (963222.7764434523 1945880.411023463)
서울특별시 송파구 송파대로 380 (송파동),의원,127.11082916027298,37.501664208819,송파구,POINT (965601.8549922941 1944782.0733083)
서울특별시 송파구 송파대로 345 1A동 3041호일부3042호 (가락동 헬리오시티),의원,127.11046300069158,37.50108611288404,송파구,POINT (965569.2251854548 1944718.0713088878)
서울특별시 송파구 송이로 87 (가락동 2층),의원,127.12084714662925,37.49833598151866,송파구,POINT (966485.8435907107 1944409.2144450054)
서울특별시 송파구 양산로 42 (거여동 2층),의원,127.14450632300652,37.49259072418917,송파구,POINT (968574.7303082028 1943763.656056171)
서울특별시 송파구 송파대로32길 15 (가락동 금호상가 208호),의원,127.1157577651,37.4965832221,송파구,POINT (966035.186345269 1944216.58200139)
서울특별시 송파구 오금로 504 (거여동),의원,127.14461981108354,37.49280322285884,송파구,POINT (968584.8515729308 1943787.193428739)
서울특별시 송파구 마천로41길 22 (마천동),의원,127.14990555555553,37.496944444444445,송파구,POINT (969053.8148796972 1944244.882426742)
서울특별시 송파구 올림픽로 509 (풍납동 J빌딩 302호),의원,127.1184173000612,37.52783734619158,송파구,POINT (966284.3369987888 1947683.0679852602)
서울특별시 송파구 송이로 87 (가락동 3층),의원,127.1207951134,37.4983405465,송파구,POINT (966481.246281789 1944409.7394279828)
서울특별시 송파구 마천로 29 5층 (방이동),의원,127.1242424554,37.509531057,송파구,POINT (966790.9226781942 1945650.0299259347)
서울특별시 송파구 법원로 128 문정에스케이브이원지엘메트로시티 A동 315~317호 (문정동),의원,127.12046907929998,37.48686205359999,송파구,POINT (966447.2928936642 1943136.3955460119)
서울특별시 송파구 올림픽로 116 메디시티4층 (잠실동),의원,127.08349087115369,37.51135448292844,송파구,POINT (963190.2179851662 1945867.4895804548)
서울특별시 송파구 오금로46길 33 (가락동),의원,127.13422788190836,37.49471121136569,송파구,POINT (967667.0378103098 1944002.390461099)
서울특별시 송파구 올림픽로 119 파인애플상가동 3층 B06호 (잠실동 잠실파인애플상가),의원,127.08418842973086,37.5120856031269,송파구,POINT (963252.2247823677 1945948.3300427215)
서울특별시 송파구 거마로22길 49 2층 (마천동 범양빌딩),의원,127.15196812305564,37.49693682512,송파구,POINT (969236.1305616328 1944243.3609773195)
서울특별시 송파구 거마로 49 초림빌딩 (거여동),의원,127.14598475516088,37.49750480284919,송파구,POINT (968707.4730351514 1944308.3466577632)
서울특별시 송파구 송이로 76 뉴스타트병원 (가락동),병원,127.11948453460472,37.49911314029309,송파구,POINT (966365.747427282 1944495.92103847)
서울특별시 송파구 백제고분로 279 송파동산빌딩 B12~5 층 (석촌동),의원,127.097668980012,37.5027264915884,송파구,POINT (964439.1480713672 1944904.8179131167)
서울특별시 송파구 석촌호수로 142 3층 (삼전동),의원,127.09482065732138,37.5067778324928,송파구,POINT (964189.3273414747 1945355.3677572287)
서울특별시 송파구 백제고분로7길 53 AW TOWER 6층 (잠실동),의원,127.084849038691,37.5109389631056,송파구,POINT (963310.0457633818 1945820.859848405)
서울특별시 송파구 올림픽로35길 123 2층 206호 (신천동 향군타워),의원,127.101224008613,37.51657725057877,송파구,POINT (964759.8801491791 1946440.1325717063)
서울특별시 송파구 올림픽로 116 4층 (잠실동),의원,127.08351394731824,37.51140423973924,송파구,POINT (963192.2818285334 1945873.0007538693)
서울특별시 송파구 송파대로 382 3층 (송파동 송파두성빌딩),의원,127.110690353258,37.50187878487567,송파구,POINT (965589.6845033551 1944805.9298364066)
서울특별시 송파구 올림픽로35가길 9 225호226호 (신천동 잠실 푸르지오 월드마크),의원,127.1034468301007,37.51748353587248,송파구,POINT (964956.7371034387 1946539.8488909912)
서울특별시 송파구 송파대로 111 (문정동 파크하비오 하비오타워 법조대로 205동 401~419호),의원,127.12281345383936,37.481633357856886,송파구,POINT (966652.2258786717 1942555.4755432953)
서울특별시 송파구 올림픽로 240 롯데호텔월드 지하1층 일부호 (잠실동),의원,127.098141751177,37.5113096112036,송파구,POINT (964485.0015998483 1945856.880595052)
서울특별시 송파구 풍성로 52 (풍납동 대아아파트),의원,127.11806007034797,37.53382390122027,송파구,POINT (966255.4701658685 1948347.3676470497)
서울특별시 송파구 동남로 217 2층 (가락동 동희빌딩),의원,127.13173917125675,37.4967647028125,송파구,POINT (967447.9351242736 1944231.0690712638)
서울특별시 송파구 백제고분로 364 대신빌딩 5층 (석촌동),의원,127.106846702056,37.5045912862017,송파구,POINT (965251.2075088305 1945108.276203413)
서울특별시 송파구 마천로 29 6층 (방이동),의원,127.124243586707,37.5095312359703,송파구,POINT (966791.0227416421 1945650.0493822503)
